address,mav_amount
0xb18aaf8e435f769897728c29712701450e84509c,372746
0x3f70d4927adfad26eb7b1574eea7939d347d902b,396734
0xd00c1daae73d93ad43c9e80b56d6af2687cefb06,372746
0x34941f2ca1385d725833f99b20b09c441110317e,372526
0x46b0676660cb584562776370ac400e6de3fd72aa,396679
0x732c647f0e7ae509e566bbf44bb80a84d1102232,396679
0xe9820401de88b079a946b5f5301b5f28560a22e2,396679
0xba56f290c5cc6ffb7a1c20b88b33d4187ea23230,396734
0xaf4b7c2b6afd065d5194904810b1b6851e03e208,372471
0x93146d9978d286ee085ba68ee1786a0b6eda64ec,396679
0xb7523b7d17cba21d5bec2cc7fa46c6f31ca270f6,372911
0x59a5493513ba2378ed57ae5ecfb8a027e9d80365,372911
0x08262c1a9279e65633291b5fda5d123fbe77b931,396679
0xc927bca81d0fb9c1de11cb84c19f9806b40a40ab,372801
0x5c2e033d75ed235b0869e8feee4c4794c13336ba,372526
0x260a612a64d5101366f0422b47cbca074b4924eb,396679
0xc0f6bd9f0be7e08b51f65b82fc95a19df826f0fe,396679
0x9f34ca05d3c6802e3d60a5757ee1741b18f8b853,373077
0x5127c8d44affc893f7cc169091f74cea1fa4f6cb,396679
0xd09f98e716e65923490da40231c803c1c390f519,396734
0x3c6fda91760cc47a19f617af327d7479e24df37d,396734
0x498ed727bed57d9c509ec8eacc78068fb326165a,396679
0x2cc79b5104b8e90197b7a26b61df818048b5b0e2,373132
0xdae6acf3b7db19603576cfe96885af2cd4475e21,396734
0xdd31db93082a3a71b98d37ba26230f8734bd63c3,396679
0xd245026b6fdc76b8cd7d9bb2d3ba560f6d7dd439,372636
0x909dcd3c1089d4cc29791334b004298009bb5713,372471
0x38153bad797c27dd07cb04b89326bbfde3f7f0c5,373132
0x305d2806385ad69b234e2d7ad5a872e1f3d6b7bb,372416
0xe2daf82bfd6ae624abf198f108d56e4e6d47471c,396734
0x9cd6f832f8c50a9df47c432ac095f96f011179ba,372856
0xcc370dae9d3d9618d330c362ef93d63f1aa75dad,396734
0x90bb6df38b9bf66cfcb71f20dbb992de10e5b6ea,396734
0xb0d67723a6567391e91b211bfa3e2ba5d5bb7467,373132
0x38915813b911eedc48ee10929f16b908a825f385,396734
0xd7a63830509da7ec14e242a20a2cd59ffbb8ba16,372746
0x009af493e9a3a3ba3dffbf734e1b2a5b0352df46,372526
0xc7ee3b9778e6192ec7a1ef984c786e59d2990eab,396734
0x92f34f973e9906044b864fc9cf8f230e245948fe,372856
0xf45868c7d38f0beaeaea490b362de8008b24ebf1,372911
0xc8332ad4a65189339230d27a58966f5340032957,396734
0xd0f9b8f6c2f86ad8b097394a3bb95209c788dbf2,372967
0xab756cd4f67a74d71ce9a0feeb0f1ebafbad016e,396679
0x7cc0648515ef1979a41c00a04c1d1ed249e7c830,373132
0x4d25819e9de2a2eeeddca953d1ef0182680a7054,396679
0xac0fcef012f7fec5b170ddd81b51e25cc178c0ff,396734
0x6355a9ca54d121796750d6b2591e4d751a1539f5,396734
0xff8cc8cb070f70ff6955af6826869600abeb8504,396734
0x464e735d32e189018711851d7138d4d2476c732c,373077
0xf72ce7801a4c0b95dc5b59e94aef8421b6fd6120,373187
0x17301e98fbe4f1f5c2531fdb9c47e3561352dbb9,372746
0x4ab297a53c561fc74e538e384105974e3b7f2771,373132
0x666703bd47d8c2ac1cf9995004c4406b3f5bb6b4,396679
0x3a4de9b79e23953a83df287a8345abd1082d3c3b,396679
0xf9f0ce350bc91991f684a5134451a54dc0835ed0,372911
0x4d30a3cd1c738cf64101e699bb19f4f2d96dc24b,373077
0x9b8d772245c5781e9a1ac26b6bbebd34c3cc8801,372801
0x429f9ada43e9f345cbb85ec88681bb70df808892,373132
0x9e8fb10ba8e2754ad2712e528a6d50f5a51874a3,396734
0xbd56efc637f8cb7133e304b3f929df9a6fa35468,396734
0x211c69131bbc33ed5f76bdeaf531808147cd202f,396679
0x4681b4a6e40bca139f008fb3fcdfa7bfa4bb5b57,396679
0x3a8cf14a2b26cd28729909c263e0fa385149f185,396679
0x45a38f2d0f0fb090360514f9f2de16769fbda3e8,372967
0xbebdeaadb0e1de22b86673a0b1fdcd0c8e641ca9,372361
0xfc8eba4edfe1aca993ab195c6572a66e1b314b9b,373187
0x8ffecd1114432d2e779320e4ec199815822d1005,372911
0xfc9ccfd4c789ab6105fd57ce9df6b6eb3c626110,372636
0x9aff12e67a41f6befdfaeec6c6c40681ce9b4b86,372636
0x47b526003da271e88b2c38907ef66952e515094d,396679
0x592a844b4c4cbf5f40828c475c6066ee82d56c6a,372911
0x1aca3c2725cf84fa49116f1e46944bb058ae8a22,396734
0x811c29a1222b53b32b31545e1a5acbbe8cda8ad7,373187
0x224d0f96e8ff6d4641b86a04a5a039f0587a0f3c,396679
0xc2eda8e9c9ed6697545ab05232c72cc3325ced0e,372526
0x3a7d5efb476f6bc463cb0b06a2ef39d76db564df,396734
0xb32fcaef1f90c82e344bd6724c690af93316ba40,396734
0x9830805df365a74cf3a872ba0c57345334350633,373132
0xcbcb3c64ae1ad5f14af2bf4a89fe38d98f4857bf,372691
0x377a5d7e35aa22645b8382182b88c1df6700427d,373187
0x977539aa895fd7c5b440ff8954611588f2817159,372967
0x9c9b7c68e95df60a39e8ed6aeab5e6645e82efc2,372856
0xab68a9ed16c81e9406e44d8ad59a32cde2955c79,396679
0x09c6a70005887a3ba1710553ffade764a7358106,373187
0x43a4da821a24c05d713c2ac419d11bd2fa7fa3b9,396734
0x2600846f4401ae10ca760604036a891bb896649e,396734
0xed063005679facbe05d10e880bb5801eabeb0049,396679
0x920c83eb618ea5a0553f0efd4bd758c7f476655e,396679
0x4e248177e428b97b1462a2056a8000c58c4dae05,372856
0x44bf6f5b5a5884e748fc87e10ddc4b6eb3c027c7,396679
0x80d668f8bd8886ac0b489d517128ec92d496fece,372911
0x3943ebeabe4cec619d07577377bbd36376ab5865,372856
0xd497e5ba15f0137a3aebf3bd42034c20cfd4bdcb,396734
0xa32d6c2ec95a173521246e12af62849bb08c7d59,372967
0xf07262d70c80fa83ce30c60e2449f663aaf24b13,372911
0x5f7b392f2dcea2cb5782ed6ad883a7a47628cb23,396734
0x116ae23fab1a9f88a65daee725456d849cfc04a5,396679
0x279ba53a1ad77793544eaf2ac7398a7bd7361aaa,396734
0xd6430553de1df6c2b02c0f26cca00bf8fe4c5ed4,396679
0xb592a6e3645aef9e884fd54886ed8509ce020406,396734
0xa985e8982858123375cba8d09a2c382800f1279d,372526
0x3628822a233913be9ff3672f1f7b47eaaeaca555,396734
0xcd6e871e6c91dfe4dd3b966d31e5e969b62900fd,372526
0x4f3d4933bca7018b028922e3ea79c2c7001aca77,372746
0xa5cbfc70d419757d19b922cab586ae16b9491a44,372526
0x03a2b1a1761507112afb4961c4df2d2e0727a852,372471
0xf1c0c4a7003331d9821d43018a01cf99c1fe48f0,396679
0xa5ee01edcc6f1f5b93c6625a6baa489c286f359e,372691
0x09f2522360eec32c7d748023df6f87d557a7ccee,396734
0x10d53c54b7a0d672d168f68b8e6dc326678e08a5,396734
0xdcc664aab36f420eeef45bbbdc9b9a2d4a9634b0,396734
0xb107929dfbce9e715dd670855a6bd49da0363b59,396734
0xaa3c2d7d282de8cdd14e97e61d0887d6ce2edafd,372691
0x9759ccbd78581cad06be189b59cabfd8107f81db,372471
0x3d96e4f7d75a389360b3ac102fd4eab59c56f065,396679
0x4caf42ce0506cdb27733c214b33d75a956bdaf03,396734
0x022ca32d31da3ef85922aafd9ad29c5b2418172c,396734
0x1f36f5410b175855d10cb48783387c79c32c6ca1,396734
0xc08286680596564bc01731de08e704804696a413,372911
0x2474b32a2f1ab83cf2ac52080559706152909777,396734
0xfaa26c9c76a67e74b935d937d69c03c7651769d9,372691
0x02c25c59f307e6855d08b2c6d4795e097a31200a,373187
0xa72511883e1d69b63ec7c744dca756a7a698d0ae,396734
0x13feb063d598e7bae9b2354856e6c2c3f67e87d0,396679
0xe9356329dab71d3b3bb6736c9a13835b148bccd3,396734
0xd87cfd8757db0aa5b3380bc8009881f64f76bd20,372361
0xdb21f8ba255a6ca926c38183941fb3c44db18eb5,372746
0x832e460b37b2964d016b7c0674032929fe0af7d0,396679
0xf225ea3ef595feb23af2d2e5dfbb923832a291b2,396734
0x9b16934cac831c822fc73e92a1af1f1fabd4bccd,396734
0xb9a61ddf636357e57073fb73696751faf5640b69,373132
0x760e9b477bb79d7c30ef0b4e64fa5f58393a35c8,396734
0x4466d8df2615c6e7d8c3cfb7889ca59548e0edfc,396679
0x23f4016a240183ec1083d68f1f405419c3861f32,396679
0xb0ce77b18b8663baa0d6be63b7c5ee0bdf933001,396679
0x820b87dcffa29d30eb922907e05d24c88ad75b32,396679
0x770f6cd956a14fa30de849a9eb00a5f4fa279aee,372691
0x3d79b94b610ca57969382dc7a239c8e7c900e647,396734
0xce69296d8899d267e1c71a14a1d0416a8ec7b2c2,396734
0xdf7a905652ea5ab5cdc99d1ff514da22803a5d25,373187
0xfba9935527c34c2038294cc7dba53a8147d43bb3,372856
0x640f6df54589d319d903a334963ea7918df6b146,396679
0x035032655b5b3784d359b56eb82c803bd971c582,372471
0x1aa5b709f6db543453c1f022f17688ee86e9aa31,396679
0x4b6aa27638e025667e3273343156fc2f11daf54e,373132
0x967fc886731ea0eacb95d2076ec5ea523a0b5ec3,372471
0xe1addc98ef41da4cc3031b12409b673b7a707614,396734
0x8ab31e69b1ce159e1257fad9a6b43a1e24f74ad8,372911
0xdd4b344481a9a0e6b17b79b225a69a902d725022,396679
0xaadcda7e09fb39cb096d5a0a57b805d4e8413bd8,372526
0xfe60c06d6cf13b3bbb403b7f62c02317a6d1c921,373132
0x609fd68f453009f2c83639d6216bb02183adcc75,396679
0xce115e06a7beb7efb7441a68ca0ed8911ab1def9,396734
0xfa198a042303086a8bcb181e811d765836ac4881,372911
0x532cba23cfe93402b347d728a608617b80db4349,396734
0x653993766c4bfc0ec85571d5b5b2ba02d499b587,396734
0x048f570d80622fd8c0d49a050d86c73500d4600f,396734
0xdc79399646662219b51e3d1dddb12f050a01f3d6,396734
0x0625c01138ee0b8cfaec54ba7f8423e2931d3e56,396734
0xac9ba72fb61aa7c31a95df0a8b6eba6f41ef875e,372967
0xf33230c25e28e4767e7099205dfe401daa49b22e,396734
0x8ad68e2c67b88ded4b1565d8b9288b665261338d,396734
0xe2931b15ab4052ffd7ab298fce74c1f8cea4ae1e,396679
0xc6b7009b9ab3aa3895d9ec6e69bb647d28b47412,396734
0x1837ec0e062951a3f4065e9f85b48cd24d4040d5,396679
0x9e21366fce4b248c0c17582ccfdfe45e3e9cc6a3,372967
0x180ee4cd8e7b703fdb8796464c9db4ba294b1e77,372471
0xc093d2a7ca9cc887fe78e439b677f5255c8c4cb6,373132
0x20886ba6fd8731ed974ba00108f043fc9006e1f8,396734
0x2cac6c15dc771bb3cad94b59923a4795d6213c32,372911
0x730a2995814d1eece46a7b71c1cfd1e46554247c,396734
0x7e374131e01d9c5a470673554c35c5869f1bcff8,396734
0x2296cb72ccfcb075ac23e6814e1d4496a5477ffd,372471
0x9b3fab32eaebdbdb6536a4abd42ec680f9b67420,396734
0x1d463bf227718153fea97e0b29e8b68197d8b3a3,396679
0xf06596622b5e45d39e0b72bba33ec8f8aa441993,372691
0x428faa9190dc7df2b129364840ebca01e637798d,396734
0xd60e0ff7700329a4fb68b8cfea5214f5a21b30ed,396734
0x9c7a4fae9c30772ed6b73d0bd6d654bfb7e0aff8,372911
0x8e6d27ffced9e9d838f4893f7f949d2493a2aeb4,396679
0xbed88e56df1b2e696d50c94cf87b81ed32e21386,372967
0xc57b09a69d665f4a68cf1c94bc6930956053285a,372471
0x36bb7ed97708548d87236b4e97439476a11ff1dd,396734
0xc6b45909047cec807d4f1ec2057560262ce1a5e8,396734
0x7aeafb0af089bee3a98519e13054849de04d08ab,396734
0x2e0303c82f2a733ee1a9c3046512fe73d68d2a0c,396679
0xafefa02e1858e5df91a72c96cae36a0e69de55f8,372967
0x65dce2eb90732b3cb0376de00b8be32d277f1c78,373132
0x71215f9e0c796474baf672366fc6753b93d20c51,372471
0x3d79b7552e65d5c5b2fde81e464f3dfaf281b968,396734
0x119aa1bfc4203f448e0fb4cd620cab605382853a,372746
0x06c244a9bafbc96e609a8df32a07178552c7295a,373187
0x6f872901168192ba3cc18995787f1981365940fd,372526
0x8d4a025f44c0fc80e0647cf8480f9c937e059b23,396734
0x57af2c4249761f4b266dbd80fe44061faf4780c3,396734
0xcfc06112ef1535c293cf3321e0ad929ba356ec58,372471
0x1e72e9d4de608b6b2947f0d14fd0e3747313a0e7,396679
0x2498f34bf4276e8b535717701ab6b2d3c50310d5,372526
0xe0ab865e12a0ca7428599f6851f6f3d7518e8199,372746
0x780b6f8780792bfcbe4c5df6ead245f59e732889,372471
0xb47a95e0e75cfdaa5a70c25cc27ee60116c7a45c,372911
0x1892b15cece1471494af00e7552693f3facc8ec8,372911
0xba3c3b068d952110e09a8968efb1d31e9afe5058,396734
0x2d1ca9a4a18833f88f5638f87aa0e2c1be080555,396734
0x9ff548c1b3ea3dd123afe39c759dda548009b6c8,373132
0x15e0cdd5fdb7f3e58af336a0a2fe9ea522ac1a16,373187
0xc594dbdac2d6381f10a282618a82a81f7ac6c1b3,372526
0xef1820fddc9dd6af21cf7e39a3a31e0346c802a0,373132
0xa3c2f8af2a280e33871934aec9e56862aa60bef5,396734
0xb55470c29e5e035a121db0011bcb66654572cff0,396679
0x90d3c980149ccbd039292ceee75b3186da05c998,396679
0x1fa6d1245fb7e1d936a0045040ed715ab98c06e2,396679
0xfe495024f5c833b3c93d895173b63842566b0b03,372746
0xb6af4d322ad530f857fa02228d18d6e30500545a,372526
0x95bd67128bf0799f5cc6db5edc0378033b5a7300,396734
0x254113bf01a47b89a1d198991565db5f9cedb6ae,372801
0x4dd3a0cd69c491fe16aba4d44935aea5a2121666,372691
0xb7bce8ba83639088ffef1e5657ea09dd5e33a2d2,396679
0x7e16f8864f5f2b05960cab246e2331f84df29392,396734
0x5f338dd3c5ba4e5368a6139b81e1c120ccb2567d,396734
0x735ac6fd5ac7fb54f902a35c5db00963fdd182a1,372801
0x48527576b36b8ea800ae4f756bb48516f78151b2,372801
0xb0d3e03e215e30a08f4006d5aa5bec98bf3fecf7,372471
0xded11bfd7564e1f7c26231a3643447dd84cc10ab,372801
0x35704a200386a2daa003ac33e0673b589e0f7ec0,372856
0x93475fb3a658d64be4bbb76e0083e48ddebf030b,373132
0xcb1083168ad6de8f81013150a234ff24af493158,396679
